price,available,advertisers_qty,type,timestamp,curr_from,curr_to,source
11.61000,202.93000,2,ask,2024-08-08 21:58:20,USD,BOB,binance
11.62000,100.00000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.63000,144.33000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.66000,345.77000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.67000,55.94000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.70000,246.11000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.72000,20.93000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.75000,13.27000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.80000,1836.14000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
11.96000,521.79000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.00000,369.34000,2,ask,2024-08-08 21:58:20,USD,BOB,binance
12.05000,1795.40000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.08000,998.40000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.10000,711.48000,3,ask,2024-08-08 21:58:20,USD,BOB,binance
12.15000,1527.63000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.19000,998.01000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.40000,574.59000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.50000,895.18000,3,ask,2024-08-08 21:58:20,USD,BOB,binance
12.56000,81.00000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.59000,99.80000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.60000,2648.16000,2,ask,2024-08-08 21:58:20,USD,BOB,binance
12.80000,178.87000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.85000,832.65000,2,ask,2024-08-08 21:58:20,USD,BOB,binance
12.91000,91.29000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
12.93000,371.46000,2,ask,2024-08-08 21:58:20,USD,BOB,binance
12.94000,196.99000,1,ask,2024-08-08 21:58:20,USD,BOB,binance
