,inf,e,s,i
2023-01-01,3.5462979979853784,0.025283328892343526,-1.3846557431299704,-3.1999999999999993
2023-01-02,3.5558617046038483,0.025193355614487878,-1.3031242234506952,-3.1999999999999993
2023-01-03,3.4931677223508912,0.025103382336630453,-1.321939189530528,-3.1999999999999993
2023-01-04,3.528320914227632,0.025013409058774805,-1.310112639423205,-3.1999999999999993
2023-01-05,3.576147265700599,0.02492343578091827,-1.280008693695472,-3.1999999999999993
2023-01-06,3.635186076312281,0.02483346250306262,-1.2094525708960995,-3.1999999999999993
2023-01-07,3.677543382146892,0.024743489225205195,-1.1929894755762462,-3.1999999999999993
2023-01-08,3.709474747495833,0.024653515947349547,-1.2086686139761063,-3.1999999999999993
2023-01-09,3.708767781824181,0.0245635426694939,-1.3806911609917198,-3.0199999999999996
2023-01-10,3.699831405287662,0.024473569391636474,-1.352804693409111,0.9900000000000002
2023-01-11,3.687232196026452,0.024383596113780825,-1.2657854752898845,0.9900000000000002
2023-01-12,3.6920899501915554,0.02429362283592429,-1.3190945458494099,0.9900000000000002
2023-01-13,3.712099713600289,0.024203649558067752,-1.369267788728964,0.9900000000000002
2023-01-14,3.7282071035374296,0.024113676280211216,-1.4633426191281276,0.9900000000000002
2023-01-15,3.741192594697296,0.024023703002355568,-1.4558166326961943,0.9900000000000002
2023-01-16,3.7446824673831767,0.02393372972449903,-1.6032005336548842,0.71
2023-01-17,3.723775823687303,0.023843756446642494,-1.6831641394941732,0.4499999999999993
2023-01-18,3.7046002999857057,0.023753783168786846,-1.6677089887857395,0.4499999999999993
2023-01-19,3.673567922875285,0.02366380989093031,-1.664886743873764,0.4499999999999993
2023-01-20,3.648032991318435,0.023573836613073773,-1.5739477411545726,0.4499999999999993
2023-01-21,3.624668629905337,0.023483863335217237,-1.7175686488972952,0.4499999999999993
2023-01-22,3.603178851798208,0.023393890057361588,-1.5872750087944536,0.4499999999999993
2023-01-23,3.583319146131052,0.023303916779504164,-1.5825712672744958,0.34999999999999964
2023-01-24,3.569415175052085,0.023213943501648515,-1.6578311315938261,-0.09999999999999964
2023-01-25,3.543449443807118,0.023123970223792867,-1.6189468683621728,-0.09999999999999964
2023-01-26,3.524430492789576,0.02303399694593633,-1.6902869480815381,-0.09999999999999964
2023-01-27,3.501056159105213,0.022944023668079794,-1.3563213001645078,-0.09999999999999964
2023-01-28,3.47872488522621,0.022854050390223257,-1.3751362662443405,-0.09999999999999964
2023-01-29,3.4573287684140785,0.02276407711236761,-1.3845437492842574,-0.09999999999999964
2023-01-30,3.4430377871637394,0.022674103834510184,-1.4489327443130178,1.04
2023-01-31,3.416592985940629,0.022584130556654536,-1.4269819505532126,1.75
2023-02-01,2.6900730337908056,0.02263511472117319,-1.4238461228732404,0.5200000000000005
2023-02-02,2.547511512812165,0.022686098885690953,-1.3297712924740774,0.5200000000000005
2023-02-03,2.469739767932177,0.022737083050209606,-1.339805941049988,0.5200000000000005
2023-02-04,2.437770377030759,0.022788067214728258,-1.2974722673703645,0.5200000000000005
2023-02-05,2.424121927720768,0.022839051379246023,-1.3971915875934777,0.5200000000000005
2023-02-06,2.3995903122719717,0.022890035543764675,-1.3901359753135405,0.8000000000000007
2023-02-07,2.3927754991038794,0.022941019708283328,-1.2756782649945588,0.40000000000000036
2023-02-08,2.424539010904657,0.02299200387280198,-1.1547249116242053,0.40000000000000036
2023-02-09,2.472458701194585,0.023042988037319745,-1.1232098434404858,0.40000000000000036
2023-02-10,2.4906612809598805,0.023093972201838397,-1.1365371110803673,0.40000000000000036
2023-02-11,2.5055124843217413,0.022894956366356745,-0.9672024163618732,0.40000000000000036
2023-02-12,2.517850155381027,0.02269594053087509,-0.7903417352114459,0.40000000000000036
2023-02-13,2.5379040833787494,0.02249692469539344,-0.7204575754863533,0.25
2023-02-14,2.5469541182807456,0.022297908859911786,-0.7173217478063807,0.11000000000000032
2023-02-15,2.543356212017363,0.022098893024430133,-0.684171569475247,0.11000000000000032
2023-02-16,2.543195895734752,0.02189987718894848,-0.6869938143872218,0.11000000000000032
2023-02-17,2.538196221527855,0.0417008613534664,-0.6352526576676819,0.11000000000000032
2023-02-18,2.5347004050318573,0.03950184551798497,-0.5427457411085046,0.11000000000000032
2023-02-19,2.5324709950292488,0.037302829682503535,-0.7183520911869429,0.11000000000000032
2023-02-20,2.531318030546021,0.035103813847021215,-0.7779328171064128,1.17
2023-02-21,2.529557133399615,0.03290479801153978,-0.9246895525291082,1.2199999999999998
2023-02-22,2.546463764793538,0.03070578217605835,-0.8701261508975934,1.2199999999999998
2023-02-23,2.5622829866634875,0.04050676634057648,-0.7509646990586535,1.2199999999999998
2023-02-24,2.5847762555853744,0.020307750505095257,-0.7622536787065524,1.2199999999999998
2023-02-25,2.6084056429268463,0.020108734669613604,-0.6650430206274166,1.2199999999999998
2023-02-26,2.630574075301968,0.01990971883413195,-0.8710668992015852,1.2199999999999998
2023-02-27,2.6375671832888647,0.019710702998650298,-0.5449408204844849,2.54
2023-02-28,2.6385328774975165,0.3595116871631676,-0.39065809862985734,2.54
2023-03-01,2.47526910953409,0.2596153276450064,-0.18891985121831784,2.3099999999999996
2023-03-02,2.3751108418855784,0.15971896812684427,-0.1481540913786805,2.3099999999999996
2023-03-03,2.2633392612596954,0.05982260860868305,-0.14292771191206016,2.3099999999999996
2023-03-04,2.057740573080086,0.2199262490905216,-0.11235339203233227,2.3099999999999996
2023-03-05,1.9363228898325096,0.38002988957236017,-0.0449330969129313,2.3099999999999996
2023-03-06,1.935495767287451,0.5401335300541978,0.058121603660697754,3.7800000000000002
2023-03-07,1.937165882112912,0.5402371705360363,0.10871295689758126,0.39000000000000057
2023-03-08,1.948654603014919,0.24034081101787397,0.32038132529569896,0.39000000000000057
2023-03-09,1.9485566324521213,0.24044445149971239,0.34860377441544843,0.39000000000000057
2023-03-10,1.9595323375222384,0.34054809198155045,0.282004767497945,0.39000000000000057
2023-03-11,1.9700281367180636,0.34065173246338887,0.32653352055354845,0.39000000000000057
2023-03-12,1.979405759537418,0.3407553729452273,0.662067082310565,0.39000000000000057
2023-03-13,1.997462682903036,0.3408590134270657,0.5679922519114019,1.3000000000000007
2023-03-14,2.0193382199888696,0.3409626539089041,0.5142840760107883,1.3399999999999999
2023-03-15,2.0462080377952283,0.39106629439074325,0.6727746769788374,1.3399999999999999
2023-03-16,2.069202599898907,0.4411699348725815,0.7814833698845377,1.3399999999999999
2023-03-17,2.103592562708228,0.41627357535441956,0.8510315480724903,1.3399999999999999
2023-03-18,2.1356980195673514,0.3913772158362576,1.178411957861579,1.3399999999999999
2023-03-19,2.165110579629102,0.3664808563180957,1.3030611081404706,1.3399999999999999
2023-03-20,2.193127882402234,0.34158449679993375,1.2466162099009717,1.0899999999999999
