;sentiment;exchange;inflation
1/1/2023;184.3;6.970;3.546
2/1/2023;189.6;6.970;3.556
3/1/2023;195.9;6.970;3.493
4/1/2023;189.5;6.970;3.528
5/1/2023;191.5;6.970;3.576
6/1/2023;176.8;6.970;3.635
7/1/2023;176.8;6.970;3.635
8/1/2023;169.0;6.970;3.709
9/1/2023;168.2;6.970;3.709
10/1/2023;162.4;6.970;3.700
11/1/2023;156.6;6.970;3.687
12/1/2023;167.8;6.970;3.692
13/1/2023;176.5;6.970;3.712
14/1/2023;182.9;6.970;3.728
15/1/2023;186.8;6.970;3.741
16/1/2023;192.3;6.970;3.745
17/1/2023;197.9;6.970;3.724
18/1/2023;203.8;6.970;3.705
19/1/2023;209.9;6.970;3.674
20/1/2023;215.6;6.970;3.648
21/1/2023;219.4;6.970;3.625
22/1/2023;221.1;6.970;3.603
23/1/2023;219.8;6.970;3.583
24/1/2023;215.6;6.970;3.569
25/1/2023;220.5;6.970;3.543
26/1/2023;208.4;6.970;3.524
27/1/2023;230.0;6.970;3.501
28/1/2023;242.7;6.970;3.479
29/1/2023;246.6;6.970;3.457
30/1/2023;241.6;6.970;3.443
31/1/2023;227.7;6.970;3.417
1/2/2023;218.3;6.970;2.690
2/2/2023;210.5;6.970;2.548
3/2/2023;204.6;6.970;2.470
4/2/2023;200.9;6.970;2.438
5/2/2023;199.5;6.970;2.424
6/2/2023;200.4;6.970;2.400
7/2/2023;205.7;6.970;2.393
8/2/2023;215.2;6.970;2.425
9/2/2023;213.6;6.970;2.472
10/2/2023;217.0;6.980;2.491
11/2/2023;190.2;6.980;2.506
12/2/2023;172.1;6.980;2.518
13/2/2023;165.6;6.980;2.538
14/2/2023;170.7;6.980;2.547
15/2/2023;187.4;6.980;2.543
16/2/2023;202.4;6.980;2.543
17/2/2023;200.8;7.000;2.538
18/2/2023;200.0;7.000;2.535
19/2/2023;200.0;7.000;2.5
20/2/2023;200.0;7.000;2.5
21/2/2023;200.0;7.000;2.530
22/2/2023;200.8;6.990;2.546
23/2/2023;202.5;7.000;2.562
24/2/2023;218.7;6.980;2.585
25/2/2023;217.1;6.980;2.608
26/2/2023;222.5;6.980;2.631
27/2/2023;229.2;6.980;2.638
28/2/2023;229.8;7.050;2.639
1/3/2023;228.1;7.050;2.475
2/3/2023;221.2;7.050;2.375
3/3/2023;209.2;7.020;2.263
4/3/2023;200.7;7.020;2.058
5/3/2023;195.7;7.020;1.936
6/3/2023;210.4;7.500;1.935
7/3/2023;224.3;7.500;1.937
8/3/2023;237.4;7.200;1.949
9/3/2023;237.2;7.200;1.949
10/3/2023;231.7;7.300;1.960
11/3/2023;215.8;7.300;1.970
12/3/2023;221.7;7.300;1.979
13/3/2023;233.5;7.300;1.997
14/3/2023;240.6;7.300;2.019
15/3/2023;237.6;7.300;2.046
16/3/2023;255.8;7.400;2.069
17/3/2023;281.5;7.400;2.104
18/3/2023;314.8;7.400;2.136
19/3/2023;313.0;7.400;2.165
20/3/2023;307.0;7.300;2.193
21/3/2023;298.3;7.300;2.217
22/3/2023;290.2;7.300;2.245
23/3/2023;288.2;7.300;2.267
24/3/2023;294.2;7.300;2.276
25/3/2023;307.6;7.300;2.286
26/3/2023;318.7;7.300;2.295
27/3/2023;327.6;7.300;2.308
28/3/2023;324.7;7.100;2.317
29/3/2023;309.8;7.100;2.323
30/3/2023;306.6;7.000;2.331
31/3/2023;283.9;7.000;2.329
1/4/2023;263.5;7.000;2.316
2/4/2023;271.6;7.000;2.394
3/4/2023;298.5;7.000;2.420
4/4/2023;313.6;7.000;2.467
5/4/2023;317.4;7.000;2.460
6/4/2023;309.5;7.000;2.466
7/4/2023;295.6;7.000;2.470
8/4/2023;286.4;7.000;2.473
9/4/2023;274.6;7.000;2.475
10/4/2023;260.1;7.000;2.488
11/4/2023;243.0;7.000;2.471
12/4/2023;243.0;7.020;2.5
13/4/2023;234.0;7.020;2.442
14/4/2023;237.0;7.020;2.439
15/4/2023;241.0;7.020;2.422
16/4/2023;246.0;7.020;2.404
17/4/2023;242.6;7.020;2.386
18/4/2023;204.7;7.020;2.368
19/4/2023;197.0;7.020;2.347
20/4/2023;185.4;7.020;2.330
21/4/2023;181.9;7.020;2.320
22/4/2023;186.5;7.020;2.318
23/4/2023;187.9;7.020;2.316
24/4/2023;186.1;7.020;2.321
25/4/2023;179.9;7.020;2.321
26/4/2023;169.1;7.020;2.320
27/4/2023;156.1;7.020;2.324
28/4/2023;148.1;7.100;2.335
29/4/2023;149.7;7.100;2.351
30/4/2023;143.3;7.100;2.366
1/5/2023;138.7;7.200;2.753
2/5/2023;137.1;7.200;2.707
3/5/2023;138.3;7.200;2.753
4/5/2023;121.0;7.300;2.829
5/5/2023;119.4;7.300;2.901
6/5/2023;120.9;7.300;2.967
7/5/2023;125.4;7.500;3.014
8/5/2023;143.6;7.500;3.075
9/5/2023;154.1;7.550;3.119
10/5/2023;151.3;7.550;3.148
11/5/2023;153.6;7.550;3.158
12/5/2023;159.0;7.550;3.147
13/5/2023;165.5;7.550;3.131
14/5/2023;164.8;7.550;3.117
15/5/2023;169.3;7.500;3.104
16/5/2023;169.5;7.500;3.091
17/5/2023;167.2;7.500;3.090
18/5/2023;162.4;7.500;3.091
19/5/2023;155.7;7.500;3.098
20/5/2023;147.3;7.500;3.096
21/5/2023;137.0;7.500;3.094
22/5/2023;124.9;7.500;3.102
23/5/2023;100.5;7.500;3.110
24/5/2023;96.8;7.500;3.125
25/5/2023;108.0;7.550;3.141
26/5/2023;116.0;7.550;3.152
27/5/2023;120.6;7.550;3.150
28/5/2023;121.8;7.550;3.148
29/5/2023;120.3;7.550;3.144
30/5/2023;118.6;7.550;3.133
31/5/2023;116.9;7.550;3.122
1/6/2023;113.2;7.200;2.554
2/6/2023;114.8;7.200;2.541
3/6/2023;120.9;7.200;2.577
4/6/2023;131.7;7.200;2.594
5/6/2023;147.0;7.200;2.576
6/6/2023;167.0;7.200;2.539
7/6/2023;179.1;7.200;2.564
8/6/2023;182.9;7.200;2.581
9/6/2023;181.4;7.200;2.557
10/6/2023;182.5;7.200;2.547
11/6/2023;185.3;7.200;2.539
12/6/2023;189.6;7.200;2.521
13/6/2023;192.7;7.200;2.512
14/6/2023;196.9;7.200;2.495
15/6/2023;202.3;7.200;2.477
16/6/2023;208.9;7.200;2.455
17/6/2023;209.3;7.200;2.452
18/6/2023;203.7;7.200;2.450
19/6/2023;203.7;7.200;2.4
20/6/2023;195.1;7.200;2.453
21/6/2023;183.5;7.200;2.456
22/6/2023;168.8;7.200;2.465
23/6/2023;163.2;7.200;2.468
24/6/2023;155.7;7.200;2.482
25/6/2023;155.8;7.200;2.494
26/6/2023;155.8;7.200;2.5
27/6/2023;155.4;7.200;2.527
28/6/2023;155.4;7.200;2.5
29/6/2023;155.6;7.200;2.566
30/6/2023;156.5;7.200;2.571
1/7/2023;160.6;7.300;2.714
2/7/2023;158.0;7.300;2.710
3/7/2023;157.5;7.300;2.776
4/7/2023;159.0;7.300;2.748
5/7/2023;162.5;7.300;2.755
6/7/2023;168.1;7.300;2.755
7/7/2023;172.6;7.300;2.746
8/7/2023;176.0;7.300;2.741
9/7/2023;178.5;7.300;2.735
10/7/2023;180.2;7.300;2.709
11/7/2023;177.6;7.300;2.700
12/7/2023;173.9;7.300;2.697
13/7/2023;169.1;7.300;2.709
14/7/2023;163.2;7.300;2.689
15/7/2023;163.2;7.300;2.7
16/7/2023;156.2;7.300;2.656
17/7/2023;147.8;7.300;2.656
18/7/2023;149.0;7.300;2.658
19/7/2023;151.0;7.300;2.668
20/7/2023;153.8;7.300;2.681
21/7/2023;157.5;7.300;2.698
22/7/2023;162.0;7.300;2.717
23/7/2023;167.3;7.300;2.736
24/7/2023;173.4;7.300;2.753
25/7/2023;181.0;7.300;2.762
26/7/2023;183.8;7.300;2.780
27/7/2023;185.3;7.300;2.793
28/7/2023;182.2;7.300;2.809
29/7/2023;181.5;7.300;2.837
30/7/2023;182.9;7.300;2.864
31/7/2023;186.7;7.300;2.887
1/8/2023;192.6;7.500;3.744
2/8/2023;195.7;7.500;3.527
3/8/2023;196.0;7.500;3.491
4/8/2023;193.4;7.500;3.543
5/8/2023;187.9;7.500;3.504
6/8/2023;179.5;7.500;3.476
7/8/2023;168.3;7.500;3.455
8/8/2023;154.2;7.500;3.429
9/8/2023;139.2;7.500;3.389
10/8/2023;129.4;7.500;3.345
11/8/2023;124.9;7.500;3.319
12/8/2023;125.9;7.500;3.305
13/8/2023;125.5;7.500;3.294
14/8/2023;123.8;7.500;3.291
15/8/2023;120.7;7.500;3.284
16/8/2023;116.2;7.500;3.283
17/8/2023;114.5;7.500;3.275
18/8/2023;114.4;7.500;3.245
19/8/2023;115.9;7.500;3.205
20/8/2023;119.5;7.500;3.169
21/8/2023;125.2;7.500;3.137
22/8/2023;128.0;7.500;3.119
23/8/2023;176.4;7.500;3.115
24/8/2023;185.2;7.500;3.110
25/8/2023;196.7;7.500;3.092
26/8/2023;210.8;7.500;3.066
27/8/2023;218.3;7.500;3.042
28/8/2023;219.4;7.500;3.024
29/8/2023;213.9;7.500;3.009
30/8/2023;207.9;7.500;3.007
31/8/2023;201.4;7.500;3.001
1/9/2023;194.4;7.500;2.808
2/9/2023;187.6;7.500;2.810
3/9/2023;181.0;7.500;2.811
4/9/2023;174.2;7.500;2.850
5/9/2023;167.1;7.500;2.824
