Day;p50_inf_sent;p68_inf_sent;p32_inf_sent;p50_inf_fx;p68_inf_fx;p32_inf_fx;p50_inf_i;p68_inf_i;p32_inf_i;p50_e_sent;p68_e_sent;p32_e_sent;p50_e_inf;p68_e_inf;p32_e_inf;p50_e_i;p68_e_i;p32_e_i;p50_s_fx;p68_s_fx;p32_s_fx;p50_s_inf;p68_s_inf;p32_s_inf;p50_s_i;p68_s_i;p32_s_i;p50_i_inf;p68_i_inf;p32_i_inf;p50_i_fx;p68_i_fx;p32_i_fx;p50_i_sent;p68_i_sent;p32_i_sent
1;-0.0026005;0.023306761;-0.0287531;0.024009906;0.037444209;0.013945976;-0.003040945;0.000864071;-0.00686502;0.041526455;0.055644704;0.02852505;0;6.68792E-17;-6.56752E-17;0.000860944;0.003271027;-0.001618479;0;1.14827E-16;-1.11073E-16;0;7.7958E-17;-7.7832E-17;-0.001179367;0.00120708;-0.003579171;0;4.12362E-16;-4.07703E-16;0;6.60007E-16;-6.67096E-16;0;5.10248E-17;-5.24977E-17
2;-0.072124798;-0.035751422;-0.108391156;-0.023643782;0.003454035;-0.050243022;0.006650456;0.012040519;0.001367375;0.060325281;0.082907049;0.039524473;-0.010304111;-0.00095197;-0.019582103;0.012163123;0.015844845;0.008466388;-0.007852088;0.00696523;-0.022792882;-0.006317536;0.003112776;-0.0158492;0.003156474;0.00661898;-0.000349744;0.019136129;0.083199797;-0.04469552;-0.47286979;-0.37161467;-0.576639489;-0.193735259;-0.092460655;-0.296461798
3;-0.10166604;-0.056724571;-0.146318287;-0.053389503;-0.01566428;-0.090754631;0.012778555;0.019204811;0.00605436;0.061650504;0.090807376;0.033275443;-0.023818975;-0.008992411;-0.038536095;0.007915848;0.012536058;0.003293768;0.041671956;0.06525395;0.018481855;-0.017722075;-0.003428899;-0.0320137;0.004797582;0.009236198;0.000471531;0.086052996;0.174834574;-0.007024749;-0.545945181;-0.397068216;-0.694225529;-0.330603536;-0.183220973;-0.479285371
4;-0.132884278;-0.08094104;-0.185146307;-0.083476035;-0.037018657;-0.129639989;0.01799631;0.02578893;0.010373935;0.100001771;0.134347682;0.066932509;-0.043585495;-0.02491555;-0.062510778;0.004152184;0.009349038;-0.001156993;0.079676327;0.110659671;0.049951147;-0.019361598;-0.000599121;-0.037691079;-0.000275452;0.004987062;-0.005672914;0.158391855;0.270782055;0.04823949;-0.650788511;-0.471441213;-0.827633893;-0.470999011;-0.295404605;-0.646517177
5;-0.13251193;-0.074583193;-0.193009397;-0.098343876;-0.044615701;-0.151706896;0.028030655;0.036592175;0.019506697;0.1186222;0.157374744;0.081708378;-0.06499172;-0.042906206;-0.086529877;0.004520462;0.010265641;-0.001489698;0.084097389;0.121366237;0.048669272;-0.017687311;0.004610378;-0.039998464;-0.003296057;0.002937146;-0.009454332;0.220352503;0.345787071;0.095432272;-0.817809807;-0.614297715;-1.022576105;-0.609780861;-0.407745694;-0.810244146
6;-0.125444909;-0.060754676;-0.190109191;-0.085674021;-0.025373018;-0.146061901;0.035076593;0.04447992;0.025737057;0.117515551;0.158911458;0.07648982;-0.071216015;-0.04670119;-0.095238026;0.004327004;0.010725378;-0.0020672;0.089566751;0.131953773;0.047740664;-0.021044795;0.005232998;-0.046536606;-0.006137984;0.000836719;-0.013009742;0.292336912;0.430093007;0.153175065;-0.996712987;-0.771823328;-1.218449223;-0.754604534;-0.533860967;-0.971859182
7;-0.079487495;-0.011081942;-0.148833689;-0.057853239;0.007345916;-0.124634297;0.034615945;0.044907193;0.024549631;0.10057565;0.144929054;0.055704881;-0.07145453;-0.045007751;-0.098275865;0.004560938;0.011502836;-0.002340139;0.101200876;0.148458586;0.053392584;-0.031655382;-0.002458435;-0.061057273;-0.008219178;-0.000478528;-0.015693981;0.356797075;0.505959453;0.207433936;-1.105648838;-0.862344893;-1.348226703;-0.802492896;-0.569487538;-1.033610214
8;-0.037851065;0.033898124;-0.1123152;-0.013085259;0.055883168;-0.085868875;0.029781305;0.040460009;0.01907697;0.090617417;0.138179443;0.042956955;-0.06739078;-0.037795621;-0.096195833;0.005001312;0.012458808;-0.002432051;0.120385687;0.172506329;0.067847574;-0.048118385;-0.016018033;-0.08019431;-0.009545142;-0.001219071;-0.017872492;0.366548084;0.522160578;0.215262291;-1.174952638;-0.920437531;-1.42684596;-0.743244455;-0.501217055;-0.989273997
9;-0.010022687;0.066303775;-0.090290941;0.026943496;0.099556668;-0.049124518;0.024938411;0.036140562;0.013384263;0.087861634;0.139260929;0.036916037;-0.06168774;-0.031300327;-0.091868478;0.00411882;0.011963985;-0.003551559;0.138127771;0.195872696;0.081129649;-0.057511511;-0.022663899;-0.092065119;-0.011262208;-0.002242689;-0.020392731;0.358840375;0.512122009;0.203684572;-1.191919376;-0.930849809;-1.44925825;-0.678530652;-0.426014244;-0.937775524
10;0.008819284;0.088545821;-0.074851585;0.060112546;0.133231526;-0.016282711;0.020845592;0.03218436;0.009087725;0.090771353;0.145020337;0.037065487;-0.056035499;-0.025811628;-0.086306662;0.002261157;0.010347021;-0.00544698;0.155120515;0.216237711;0.095111584;-0.062819833;-0.026692497;-0.099323334;-0.012173505;-0.002798658;-0.021845143;0.333632052;0.478682425;0.18682033;-1.111676688;-0.859064843;-1.358199712;-0.625897687;-0.370962253;-0.888854289
